,TABLE,VALUE,CLUSTER,OBSERVED,EXPECTED,DIFF,INDCHI2,INFLUENCE,rank
96,IRSEX,Female,2,27317145.17568897,22216606.915218834,5100538.260470137,1170992.9714198879,0.13313822185819785,2.0
97,IRSEX,Male,3,9372546.343858294,12840478.26181789,-3467931.917959595,936612.4487251192,0.10648989279782882,5.0
98,IRSEX,Female,3,17233122.763974395,13765190.846014798,3467931.917959597,873693.0655113128,0.09933615660473859,6.0
99,IRSEX,Male,4,10415610.098987048,7562128.5394641785,2853481.55952287,1076728.1947198962,0.12242061290578957,3.0
100,IRSEX,Female,4,5253236.93065605,8106718.490178921,-2853481.559522871,1004396.1709539229,0.11419668905428298,4.0
101,IRSEX,Male,5,4175208.604017312,5681196.628377094,-1505988.0243597818,399211.65871756873,0.045389111364410144,7.0
102,IRSEX,Female,5,7596318.480031997,6090330.455672215,1505988.0243597822,372393.57470378047,0.042339979468332144,8.0
103,IRSEX,Male,6,6123048.41939882,5090156.970092576,1032891.449306244,209593.68292930067,0.023830143253619943,13.0
104,IRSEX,Female,6,4423835.371987174,5456726.821293417,-1032891.4493062431,195513.68081810453,0.02222929124972508,14.0
105,IRSEX,Male,7,4127988.724182016,4143894.4753560484,-15905.751174032222,61.05196981119794,6.941417156199696e-06,23.0
106,IRSEX,Female,7,4458224.575749241,4442318.82457521,15905.751174030825,56.950644562161756,6.475109360810707e-06,24.0
107,IRSEX,Male,8,3851560.540905247,3297615.021889336,553945.519015911,93053.80888943099,0.010579925716931587,15.0
108,IRSEX,Female,8,2981148.671982359,3535094.1909982697,-553945.5190159106,86802.67666394316,0.009869191622522151,16.0
109,IRSEX,Male,9,2963797.508685883,2999967.0534805013,-36169.54479461815,436.08344602721553,4.958131773878964e-05,21.0
110,IRSEX,Female,9,3252180.520469089,3216010.975674471,36169.54479461815,406.78840356741074,4.62505634494368e-05,22.0
111,IRSEX,Male,10,268037.342460641,266851.1325168199,1186.2099438210716,5.272955065054106,5.995184244771621e-07,25.0
112,IRSEX,Female,10,284882.3220587532,286068.5320025744,-1186.209943821188,4.918730560716141,5.592442112263573e-07,26.0
113,IRSEX,Male,11,1714242.3332814814,1531021.2171783682,183221.11610311316,21926.526562407187,0.002492977182011339,17.0
114,IRSEX,Female,11,1458057.2548455438,1641278.3709486572,-183221.1161031134,20453.55497292464,0.0023255049400272066,18.0
115,IRSEX,Male,12,92582.330645375,75830.48232213192,16751.848323243074,3700.6809616854907,0.0004207557986499832,19.0
116,IRSEX,Female,12,64539.5989130625,81291.44723630555,-16751.84832324305,3452.078069531667,0.0003924904308655534,20.0
117,IRMARIT,Married,0,31195336.27496832,26881266.652198672,4314069.622769646,692348.2048261886,0.0545091408135352,6.0
118,IRMARIT,Widowed,0,4748924.443727431,3042385.6028305967,1706538.8408968342,957233.9590287197,0.07536381303580235,2.0
119,IRMARIT,Divorced/Sep,0,6790042.070505408,7214198.115163455,-424156.04465804715,24938.093929221548,0.001963396545457015,36.0
120,IRMARIT,Never Married,0,9474925.353494665,15071377.772503119,-5596452.419008454,2078129.82668165,0.1636128620855388,1.0
121,IRMARIT,Married,1,32331852.313259024,32157490.645331483,174361.66792754084,945.4093162237359,7.443284922996937e-05,50.0
122,IRMARIT,Widowed,1,2297558.7446796927,3639541.537545588,-1341982.7928658952,494819.9650340137,0.038957580829084244,9.0
123,IRMARIT,Divorced/Sep,1,9710329.98566415,8630192.5948479,1080137.390816249,135187.8037734448,0.010643446434600374,22.0
124,IRMARIT,Never Married,1,18117054.140987,18029570.406864915,87483.73412208632,424.49174124691234,3.342058221068049e-05,51.0
125,IRMARIT,Married,2,23674723.780759413,22109154.559887443,1565569.22087197,110859.37179110957,0.008728049073195297,26.0
126,IRMARIT,Widowed,2,2660015.8569063502,2502284.374990801,157731.48191554938,9942.603101362827,0.0007827892796246013,44.0
127,IRMARIT,Divorced/Sep,2,4747153.432987962,5933493.5074851345,-1186340.0744971726,237196.3111752816,0.01867465971049987,17.0
128,IRMARIT,Never Married,2,11858862.26629297,12395822.894583326,-536960.6282903552,23259.989980976963,0.0018312780481792225,37.0
129,IRMARIT,Married,3,13242903.902996281,13698614.424888263,-455710.52189198136,15160.079211059037,0.0011935654439479914,42.0
130,IRMARIT,Widowed,3,2469174.788387685,1550390.7551766643,918784.0332110208,544484.7351320274,0.042867728826686276,8.0
131,IRMARIT,Divorced/Sep,3,2466069.9019982945,3676334.1416538777,-1210264.2396555832,398423.9389976022,0.03136824280458099,13.0
132,IRMARIT,Never Married,3,8427520.51445043,7680329.786113894,747190.7283365373,72691.40779885332,0.00572305402978049,30.0
133,IRMARIT,Married,4,6853848.908823824,8067509.712749388,-1213660.8039255645,182580.8210255333,0.01437473747134241,19.0
134,IRMARIT,Widowed,4,272420.638664435,913069.8980197498,-640649.2593553148,449507.1783689836,0.03539006804901156,11.0
135,IRMARIT,Divorced/Sep,4,2667634.027291367,2165099.3651751583,502534.6621162086,116641.79976692254,0.009183304360318983,25.0
136,IRMARIT,Never Married,4,5874943.454863473,4523168.053698808,1351775.401164665,403986.03666729206,0.0318061513063758,12.0
137,IRMARIT,Married,5,4975479.757780477,6060874.0965303425,-1085394.338749865,194374.74724391167,0.015303282935172163,18.0
138,IRMARIT,Widowed,5,257395.3527161725,685961.5780175526,-428566.22530138015,267754.0774220645,0.021080497656900187,16.0
139,IRMARIT,Divorced/Sep,5,1445148.804664016,1626573.1466138295,-181424.34194981353,20235.666573276638,0.0015931705910545327,38.0
140,IRMARIT,Never Married,5,5093503.168888642,3398118.2628875854,1695384.906001057,845859.3130463099,0.0665951960038034,3.0
141,IRMARIT,Married,6,4864861.609653356,5430334.9356384445,-565473.325985089,58884.04420546934,0.004635988993532738,32.0
142,IRMARIT,Widowed,6,376846.3364582075,614598.0038996086,-237751.6674414011,91972.07770365586,0.00724103695151568,28.0
143,IRMARIT,Divorced/Sep,6,2473313.3372918046,1457353.6494488395,1015959.6878429651,708252.3090482092,0.05576128395553829,4.0
144,IRMARIT,Never Married,6,2831862.507982626,3044597.202399104,-212734.6944164778,14864.380146185185,0.0011702848145576316,43.0
145,IRMARIT,Married,7,3843680.889168178,4420833.202461303,-577152.313293125,75348.87146480648,0.005932278319183622,29.0
146,IRMARIT,Widowed,7,205688.298237565,500343.95557709545,-294655.6573395304,173524.54333549517,0.013661729316758265,20.0
147,IRMARIT,Divorced/Sep,7,1196106.5310267196,1186430.9435001933,9675.587526526302,78.90639948017852,6.212365411467907e-06,52.0
148,IRMARIT,Never Married,7,3340737.581498794,2478605.1983926664,862132.3831061274,299875.20662114717,0.02360942044805859,15.0
149,IRMARIT,Married,8,2242306.7468727166,3517996.431714386,-1275689.6848416696,462588.35209175677,0.03641995956240108,10.0
150,IRMARIT,Widowed,8,177180.49721847,398162.1042318641,-220981.6070133941,122645.70163559566,0.009655996468291314,24.0
151,IRMARIT,Divorced/Sep,8,1288698.6173160607,944134.2015313791,344564.41578468157,125749.74662761753,0.009900380470997214,23.0
152,IRMARIT,Never Married,8,3124523.3514803587,1972416.4754099783,1152106.8760703804,672956.3813913862,0.05298240668341028,7.0
153,IRMARIT,Married,9,2880584.848758212,3200456.4872943796,-319871.6385361678,31969.77229529868,0.0025170063382464847,35.0
154,IRMARIT,Widowed,9,866155.7103774525,362223.3604320797,503932.34994537284,701080.7172086941,0.05519665866047384,5.0
155,IRMARIT,Divorced/Sep,9,990590.671700315,858915.1492388209,131675.52246149408,20186.444762178115,0.0015892953175814972,39.0
156,IRMARIT,Never Married,9,1478646.7983189928,1794383.0321896926,-315736.23387069977,55556.34866720842,0.004373996800276203,33.0
157,IRMARIT,Married,10,162615.877391835,284684.9391944029,-122069.06180256789,52341.56710757286,0.004120894416970504,34.0
158,IRMARIT,Widowed,10,25471.1191036425,32220.258500241227,-6749.139396598726,1413.7342378671476,0.00011130445360822767,49.0
159,IRMARIT,Divorced/Sep,10,39773.3088881075,76401.66582640189,-36628.35693829439,17560.304706543106,0.001382537161655303,41.0
160,IRMARIT,Never Married,10,325059.35913580924,159612.80099834842,165446.55813746082,171493.5357836082,0.01350182642993421,21.0
161,IRMARIT,Married,11,1221348.7399095835,1633340.1998595295,-411991.45994994603,103920.15275585925,0.00818171867919452,27.0
162,IRMARIT,Widowed,11,77486.6270885625,184859.24688264786,-107372.61979408536,62365.7170299085,0.004910103944551722,31.0
163,IRMARIT,Divorced/Sep,11,385857.1891712125,438343.91971568594,-52486.73054447345,6284.692816168155,0.0004947990090800117,47.0
164,IRMARIT,Never Married,11,1487607.0319576669,915756.2216691627,571850.8102885041,357096.5083169913,0.0281145003629485,14.0
165,IRMARIT,Married,12,53910.9122064875,80898.27479970567,-26987.362593218175,9002.883455068208,0.0007088043827648221,45.0
166,IRMARIT,Widowed,12,878.220467775,9155.957928951495,-8277.737461176495,7483.75407662139,0.0005892020834788377,46.0
167,IRMARIT,Divorced/Sep,12,28463.41014151,21710.88844625842,6752.52169525158,2100.1696617671687,0.0001653480763401713,48.0
168,IRMARIT,Never Married,12,73869.386742665,45356.80838352194,28512.57835914306,17923.81681294892,0.001411156767306586,40.0
169,NEWRACE2,NonHisp White,0,36428456.01400322,33231514.4375748,3196941.576428417,307552.5029801347,0.012751823545978178,17.0
170,NEWRACE2,NonHisp Black,0,4429661.166512733,6205697.394058122,-1776036.227545389,508291.732783146,0.021074926796316236,13.0
171,NEWRACE2,NonHisp NatAmer,0,242232.63748683376,292077.50914565835,-49844.87165882459,8506.34216222953,0.00035269221750236187,60.0
172,NEWRACE2,NonHisp HI/PI,0,183542.5772074525,207838.72503917915,-24296.147831726645,2840.19640396581,0.00011776097748628345,72.0
173,NEWRACE2,NonHisp Asian,0,2230358.256727281,2942446.560306313,-712088.303579032,172329.29866406033,0.00714516314148876,24.0
174,NEWRACE2,NonHisp >1 Race,0,662630.2249617622,896511.5712179781,-233881.34625621594,61014.81105514931,0.002529812297826489,41.0
175,NEWRACE2,Hispanic,0,8032347.265796542,8433141.945353776,-400794.67955723405,19048.22380582462,0.0007897825134977547,57.0
176,NEWRACE2,NonHisp White,1,43624772.72696248,39754157.736800835,3870614.9901616424,376857.6987909703,0.01562537397797166,15.0
177,NEWRACE2,NonHisp Black,1,8083590.085511743,7423744.516178136,659845.5693336073,58649.13244527189,0.0024317259031220364,43.0
178,NEWRACE2,NonHisp NatAmer,1,435147.7569185295,349406.14553574246,85741.61138278706,21040.339491581282,0.0008723801430465056,55.0
179,NEWRACE2,NonHisp HI/PI,1,233689.761427995,248633.0701101231,-14943.308682128118,898.1205688787165,3.723811351356383e-05,82.0
180,NEWRACE2,NonHisp Asian,1,1689693.4312387554,3519986.575100574,-1830293.1438618188,951700.5025429291,0.03945965895075179,8.0
181,NEWRACE2,NonHisp >1 Race,1,1284240.3459924217,1072477.8276962459,211762.51829617587,41812.85896741079,0.0017336558614830502,48.0
182,NEWRACE2,Hispanic,1,7105661.076537948,10088389.313168231,-2982728.2366302833,881871.9676072478,0.03656440969299662,9.0
183,NEWRACE2,NonHisp White,2,22807229.67450381,27332071.00936139,-4524841.334857579,749090.293912349,0.031058980679445822,11.0
184,NEWRACE2,NonHisp Black,2,5682930.345536855,5104027.448271292,578902.8972655628,65659.63209621239,0.0027223971012156805,39.0
185,NEWRACE2,NonHisp NatAmer,2,120453.43973581375,240226.28385482426,-119772.84411901051,59716.755211624615,0.0024759919617568394,42.0
186,NEWRACE2,NonHisp HI/PI,2,160586.81279048751,170942.03762326486,-10355.224832777341,627.2926357277412,2.600897383367548e-05,83.0
187,NEWRACE2,NonHisp Asian,2,4104184.040680128,2420087.0676122126,1684096.9730679155,1171934.1228061044,0.048591043794884804,4.0
188,NEWRACE2,NonHisp >1 Race,2,457371.98098629323,737357.8466089362,-279985.865622643,106314.84469715907,0.004408054321651265,30.0
189,NEWRACE2,Hispanic,2,9607999.042713305,6936043.643614779,2671955.3990985258,1029310.9475088351,0.04267756382858661,6.0
190,NEWRACE2,NonHisp White,3,9668107.472320933,16934682.01946544,-7266574.547144506,3118045.298312319,0.12928122212360532,2.0
191,NEWRACE2,NonHisp Black,3,4927899.369709075,3162405.1403017873,1765494.2294072881,985632.6864473104,0.040866564170139,7.0
192,NEWRACE2,NonHisp NatAmer,3,149716.76418578374,148841.8396251761,874.9245606076438,5.142996006245262,2.132402660808329e-07,90.0
193,NEWRACE2,NonHisp HI/PI,3,200444.4588518475,105914.00300101613,94530.45585083138,84370.40268679344,0.003498188039895763,34.0
194,NEWRACE2,NonHisp Asian,3,4253249.842670045,1499462.1130391594,2753787.7296308856,5057378.10506959,0.2096903539273308,1.0
195,NEWRACE2,NonHisp >1 Race,3,307835.61114982323,456859.6599431951,-149024.04879337188,48610.47946656222,0.0020155006076573384,46.0
196,NEWRACE2,Hispanic,3,7098415.588945183,4297504.332456919,2800911.2564882636,1825502.2589442166,0.075689459403765,3.0
197,NEWRACE2,NonHisp White,4,12749108.99860649,9973323.391462218,2775785.607144272,772559.5004194129,0.03203206715164901,10.0
198,NEWRACE2,NonHisp Black,4,460711.65439747926,1862431.7316852552,-1401720.077287776,1054975.1390316712,0.04374165935236953,5.0
199,NEWRACE2,NonHisp NatAmer,4,103846.97183607075,87657.25858068958,16189.713255381168,2990.132472032446,0.00012397766655444887,71.0
200,NEWRACE2,NonHisp HI/PI,4,37202.0861487775,62375.81564267111,-25173.72949389361,10159.653226212971,0.0004212422398570557,58.0
201,NEWRACE2,NonHisp Asian,4,280505.0931144725,883076.5496154778,-602571.4565010052,411167.48072162695,0.017047935266991582,14.0
202,NEWRACE2,NonHisp >1 Race,4,411175.0133530035,269057.84991354507,142117.1634394584,75066.71204935155,0.003112435948186429,36.0
203,NEWRACE2,Hispanic,4,1626297.2121868052,2530924.432743246,-904627.220556441,323340.51447149256,0.013406430270777538,16.0
204,NEWRACE2,NonHisp White,5,6620258.091399779,7492653.811634929,-872395.7202351503,101576.06527913733,0.004211573791086929,32.0
205,NEWRACE2,NonHisp Black,5,2364044.702902698,1399188.180869311,964856.5220333869,665348.7506819622,0.027586866577318774,12.0
206,NEWRACE2,NonHisp NatAmer,5,48453.404664975,65854.22600297123,-17400.821337996233,4597.861088264915,0.00019063773735654,68.0
207,NEWRACE2,NonHisp HI/PI,5,42412.146759215,46861.048667988325,-4448.901908773325,422.3705776223426,1.751244104555664e-05,85.0
208,NEWRACE2,NonHisp Asian,5,414597.1677648385,663428.4897555853,-248831.32199074683,93328.86326071658,0.0038696261110391767,33.0
209,NEWRACE2,NonHisp >1 Race,5,264985.2135348165,202134.95999044875,62850.25354436776,19542.16317047761,0.000810262358595534,56.0
210,NEWRACE2,Hispanic,5,2016776.357022987,1901406.367128078,115369.98989490909,7000.205110523254,0.00029024436312525474,61.0
211,NEWRACE2,NonHisp White,6,7655724.038471995,6713160.363660758,942563.6748112366,132340.98888547838,0.005487157222963273,28.0
212,NEWRACE2,NonHisp Black,6,844999.8418462125,1253624.5332099325,-408624.69136372,133193.10046091277,0.005522487699373432,27.0
213,NEWRACE2,NonHisp NatAmer,6,69560.13798631,59003.12371248315,10557.014273826848,1888.8923732389524,7.831775715524864e-05,75.0
214,NEWRACE2,NonHisp HI/PI,6,26495.008619105,41985.88943599852,-15490.880816893521,5715.429438478269,0.0002369746530519103,65.0
215,NEWRACE2,NonHisp Asian,6,214902.7358476775,594409.1310657654,-379506.3952180879,242299.61567581067,0.010046291005330684,20.0
216,NEWRACE2,NonHisp >1 Race,6,297366.5199936397,181105.97868686772,116260.54130677201,74633.1709364145,0.003094460351439433,37.0
217,NEWRACE2,Hispanic,6,1437835.5086210542,1703594.7716141914,-265759.2629931371,41458.20769321448,0.0017189512161783107,49.0
218,NEWRACE2,NonHisp White,7,6383658.5835979115,5465180.800239067,918477.7833588449,154359.29191708993,0.006400085949994711,26.0
